date,max_dew_point_v,min_dew_point_v,max_relative_humidity_v,min_relative_humidity_v,max_temperature_v,min_temperature_v,max_wind_speed_v,min_wind_speed_v,precipitation_v,rain_v,snow_v,snow_on_ground_v
11-10-23,9.92,3.67,90,54.97,16.35,6.66,26.66,4.34,2.03,2.03,0,0
10-10-23,10.16,3.88,90.03,54.91,16.56,6.89,26.6,4.25,2.07,2.07,0,0
09-10-23,10.42,4.06,89.98,54.85,16.86,7.07,26.38,4.2,2.08,2.08,0,0
08-10-23,10.62,4.27,90.05,54.58,17.16,7.27,26.28,4.13,1.98,1.98,0,0
07-10-23,10.72,4.48,90.1,54.41,17.37,7.5,26,4.06,2,2,0,0
06-10-23,10.83,4.62,90.21,54.32,17.55,7.64,26.15,4.08,2.05,2.05,0,0
05-10-23,10.97,4.86,90.17,54.37,17.7,7.87,26.14,4.11,2.07,2.07,0,0
04-10-23,11.23,5.23,90.26,54.61,18.01,8.17,26.16,4.07,2.16,2.16,0,0
03-10-23,11.54,5.5,90.46,54.81,18.27,8.4,26.18,4,2.25,2.25,0,0
02-10-23,11.77,5.73,90.4,54.98,18.5,8.65,26.23,3.95,2.37,2.37,0,0
01-10-23,11.87,5.86,90.32,54.75,18.69,8.79,26.11,3.88,2.28,2.28,0,0
30-09-23,12,6,90.14,54.44,18.91,8.94,26.09,3.94,2.32,2.32,0,0
29-09-23,12.15,6.12,90.2,54.29,19.1,9.12,26.05,3.88,2.5,2.5,0,0
28-09-23,12.38,6.35,90.19,53.97,19.43,9.33,26.13,3.86,2.56,2.56,0,0
27-09-23,12.73,6.62,89.98,53.91,19.82,9.62,26.24,3.77,2.38,2.38,0,0
26-09-23,12.86,6.81,89.75,53.35,20.12,9.84,25.99,3.67,2.42,2.42,0,0
25-09-23,13.07,7.03,89.71,52.9,20.48,10.02,25.87,3.71,2.34,2.34,0,0
24-09-23,13.25,7.3,89.64,52.82,20.77,10.25,25.65,3.65,2.23,2.23,0,0
23-09-23,13.42,7.5,89.63,52.77,20.95,10.44,25.41,3.56,2.28,2.28,0,0
22-09-23,13.64,7.74,89.57,52.79,21.18,10.62,25.3,3.52,2.2,2.2,0,0
21-09-23,13.89,8.04,89.62,52.72,21.5,10.89,25.27,3.54,2.21,2.21,0,0
20-09-23,14.08,8.24,89.4,52.68,21.77,11.11,25.18,3.62,2.22,2.22,0,0
19-09-23,14.22,8.28,89.22,52.31,21.96,11.22,25.21,3.61,2.1,2.1,0,0
18-09-23,14.28,8.34,88.92,51.82,22.14,11.39,25.24,3.62,2,2,0,0
17-09-23,14.35,8.44,88.93,51.57,22.28,11.51,25.25,3.61,2.11,2.11,0,0
16-09-23,14.49,8.62,88.92,51.64,22.39,11.73,25.32,3.7,2.15,2.15,0,0
15-09-23,14.66,8.88,89.08,51.75,22.52,12.02,25.37,3.75,2.25,2.25,0,0
